Region,Dosis,Fecha,Cantidad
Valparaíso,Segunda,2021-01-10,0
Metropolitana,Primera,2021-01-10,5820
Metropolitana,Segunda,2021-01-10,0
O’Higgins,Primera,2021-01-10,0
O’Higgins,Segunda,2021-01-10,0
Maule,Primera,2021-01-10,503
Maule,Segunda,2021-01-10,0
Ñuble,Primera,2021-01-10,0
Ñuble,Segunda,2021-01-10,0
Biobío,Primera,2021-01-10,2059
Biobío,Segunda,2021-01-10,0
Araucanía,Primera,2021-01-10,711
Araucanía,Segunda,2021-01-10,0
Los Ríos,Primera,2021-01-10,145
Los Ríos,Segunda,2021-01-10,0
Los Lagos,Primera,2021-01-10,540
Los Lagos,Segunda,2021-01-10,0
Aysén,Primera,2021-01-10,0
Aysén,Segunda,2021-01-10,0
Magallanes,Primera,2021-01-10,165
Magallanes,Segunda,2021-01-10,0
Total,Primera,2021-01-11,10703
Total,Segunda,2021-01-11,0
Arica y Parinacota,Primera,2021-01-11,0
Arica y Parinacota,Segunda,2021-01-11,0
Tarapacá,Primera,2021-01-11,160
Tarapacá,Segunda,2021-01-11,0
Antofagasta,Primera,2021-01-11,0
Antofagasta,Segunda,2021-01-11,0
Atacama,Primera,2021-01-11,0
Atacama,Segunda,2021-01-11,0
Coquimbo,Primera,2021-01-11,0
Coquimbo,Segunda,2021-01-11,0
Valparaíso,Primera,2021-01-11,600
Valparaíso,Segunda,2021-01-11,0
Metropolitana,Primera,2021-01-11,5820
Metropolitana,Segunda,2021-01-11,0
O’Higgins,Primera,2021-01-11,0
O’Higgins,Segunda,2021-01-11,0
Maule,Primera,2021-01-11,503
Maule,Segunda,2021-01-11,0
Ñuble,Primera,2021-01-11,0
Ñuble,Segunda,2021-01-11,0
Biobío,Primera,2021-01-11,2059
Biobío,Segunda,2021-01-11,0
Araucanía,Primera,2021-01-11,711
Araucanía,Segunda,2021-01-11,0
Los Ríos,Primera,2021-01-11,145
Los Ríos,Segunda,2021-01-11,0
Los Lagos,Primera,2021-01-11,540
Los Lagos,Segunda,2021-01-11,0
Aysén,Primera,2021-01-11,0
Aysén,Segunda,2021-01-11,0
Magallanes,Primera,2021-01-11,165
Magallanes,Segunda,2021-01-11,0
Total,Primera,2021-01-12,10703
Total,Segunda,2021-01-12,0
Arica y Parinacota,Primera,2021-01-12,0
Arica y Parinacota,Segunda,2021-01-12,0
Tarapacá,Primera,2021-01-12,160
Tarapacá,Segunda,2021-01-12,0
Antofagasta,Primera,2021-01-12,0
Antofagasta,Segunda,2021-01-12,0
Atacama,Primera,2021-01-12,0
Atacama,Segunda,2021-01-12,0
